Author ID,Date Created,Number of Likes,Number of Replies,Source of Tweet,Tweet
1220873184435560448,2024-11-20 10:20:18+00:00,0,1,,@quixoticue jogja gitu ra kadang beda kecamatan aja ujan deres sebelahnya kering kerontang😭
1841347533647564800,2024-11-20 10:19:44+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
2371483640,2024-11-20 10:19:34+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
349159308,2024-11-20 10:16:28+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1858101308622098432,2024-11-20 10:15:51+00:00,0,0,,"RT @BUUI_ZYUSE: jogja hujan deres tp aku masih deman 🤕🤮 

semoga rejeki vc malam ini gacor 💸 https://t.co/HcetkPEdAp"
4831433816,2024-11-20 10:11:36+00:00,0,0,,"RT @celoteh_paimin: terjebak derasnya hujan di kota jogja itu biasa, namun...
terjebak kenangan dengan orang di kota jogja itu pedihnya lua…"
1652819530664804355,2024-11-20 09:49:03+00:00,1,0,,jogja sore ujan mulu #GayJogja https://t.co/b2PFsTyxsA
1532686415657857024,2024-11-20 09:43:43+00:00,0,0,,jogja ujan mulu jam sgini
1108989240,2024-11-20 09:39:07+00:00,0,0,,ni jogja kalo tiap sore hujan angin terus mah namanya ngundang ngantu mulu 🛌
166834653,2024-11-20 09:37:19+00:00,0,0,,Nonton di Bandung aja lah. Mager juga ke Jogja musim hujan gini mah. https://t.co/e3WmFElzU2
519328866,2024-11-20 09:36:16+00:00,0,0,,Jogja siang panas sorenya ujan badai 😃
279546767,2024-11-20 09:28:25+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
340019122,2024-11-20 09:27:48+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1845106629555126278,2024-11-20 09:27:34+00:00,0,0,,"waktu jogja bagian ujan mulu tiap sore, pdhal pengen keluar😫"
236034762,2024-11-20 09:27:04+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
363704586,2024-11-20 09:25:58+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1732438206,2024-11-20 09:24:16+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
2786400840,2024-11-20 09:23:52+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
2490391429,2024-11-20 09:23:31+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
761359561483620352,2024-11-20 09:22:09+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
758418490587963393,2024-11-20 09:18:25+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1056093445,2024-11-20 09:16:43+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1372819454736830464,2024-11-20 09:11:52+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1654851817,2024-11-20 09:05:19+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1858172119106138112,2024-11-20 09:01:53+00:00,0,0,,"Jogja lagi dingin musim hujan pinginya crita sambil cuddle masuk...
#brondong #brondongjogja #sange #stw #STWjogja #fwb #fwbjogja #trisome #3s #birojomblo #tantegirang #gigoloindonesia #gigolojogja #gigolojakarta #pasutri #pasutri3some #passjogja  # https://t.co/Yp1qiJAgVX"
1894957807,2024-11-20 08:59:18+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
314413106,2024-11-20 08:54:00+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
391818019,2024-11-20 08:50:30+00:00,0,0,,"RT @cleo2nd: jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
3059542831,2024-11-20 08:43:38+00:00,16,0,,"jogja tiap hari ujan terus 🥲
cleo kedinginan 

*ehemmm ngode* https://t.co/d5kXazi78w"
1660949908596330497,2024-11-20 08:39:06+00:00,7,0,,"Jogja hujan mulu, enaknya? #GayJogja"
1646007198500401152,2024-11-20 08:33:30+00:00,1,0,,@TjoclatKetju Jogja hujan mulu
1131202777235972102,2024-11-20 08:19:20+00:00,0,0,,jogja kota hujan
1620598811193397248,2024-11-20 08:05:55+00:00,0,1,,"bisa gak jogja ujan, PANAS BGTTTTTT FAKMEN"
1858101308622098432,2024-11-20 07:53:03+00:00,1,0,,"jogja hujan deres tp aku masih deman 🤕🤮 

semoga rejeki vc malam ini gacor 💸 https://t.co/HcetkPEdAp"
1780568623826042880,2024-11-20 07:48:43+00:00,0,1,,"@squashdel Apakah blm hujan
Jogja hampir tiap hari hujan deras dan angin

Pohon mangga punya ibu, depan rumah, kena petir sampai hangus pucuknya"
1612469679154679808,2024-11-20 07:18:21+00:00,0,0,,"RT @povmalo: Jogja kalo sore suka hujan, enak mam yang anget anget. Pesen online, tunggu, tinggal mam 😋

Finally setelah repurchase 3x akhi…"
1441332104885723139,2024-11-20 07:06:57+00:00,0,1,,"@vitcsev Panas banget dong tuh

Jogja biasanya sering hujan ga sii"
591508369,2024-11-20 07:04:42+00:00,0,0,,Jogja selepas jam 2 siang pasti hujan
1789685344373481472,2024-11-20 06:55:24+00:00,0,0,,"RT @otcdxzy12: Sejak,Langit Menurunkan Hujan 
Maka saat itu juga air hujan menyembunyikan air mata dari kesedihan:v

#Jogja https://t.co/Oq…"
1365751676188065797,2024-11-20 06:23:36+00:00,0,0,,"selain jogja yang unik, kostku juga unik
sepanjang jalan tu ujan deres lha kok pas sampe daerah kostku bisa bisanya garing sring dan panas, apa ndak malu aku pake jas ujan sendiri 😭"
1365751676188065797,2024-11-20 06:20:40+00:00,0,1,,"jogja ni emang unik, perasaan tadi di magelang keujanan biasa aja. Pas masuk DIY kena ujan muka rasanya kaya lagi ditusuk jarum 🥹"
1710233477348745217,2024-11-20 06:15:21+00:00,0,0,,"RT @Lusieinthesky: di dom kalian udah sering ujan kah guys? 

di Jogja udah lumayan sering ujan tiap siang ke sore, tp paginya masih menter…"
1631436038379048965,2024-11-20 06:09:15+00:00,0,0,,"@_akaashine @zakiberkata klo jogja sabtu kemarin hujan angin juga kaa, sampe ada baliho dan pohon tumbang. 
qodarullaah"
43041909,2024-11-20 06:05:59+00:00,2,0,,minggu ini wes rong dino gue turu ruang tamu. hujan di jogja 90% bocor 10% nggawe mi enak ki. https://t.co/A2l7y8VszH
1798313735930716160,2024-11-20 05:59:53+00:00,7,9,,"doain sore ga ujan dong, w mau pulang ke jogja🤲"
4712543484,2024-11-20 05:50:39+00:00,4,0,,"TURURURURU... 🎶🥁 Dengan ini aku umumkan First Screening episode 1 Viu series Aku Tak Membenci Hujan dan Meet &amp; Greet tanggal 4 Desember di 19TH JOGJA-NETPAC ASIAN FILM FESTIVAL. Cus kosongin jadwal kamu!

Daftar di https://t.co/8GZYhAsCXH.

#Viu #AkuTakMembenciHujanViu https://t.co/FLlBgFPVrb"
1053260838176403456,2024-11-20 05:45:53+00:00,0,0,,"Hujan, Angin dan Gemuruh Kilat di Atas Jogja https://t.co/s4AqhxVQC6"
1104737983490486274,2024-11-20 04:23:28+00:00,0,0,,jkt hujan juga kah?? aku pengen night drive padahal tapi bandung hujan cirebon hujan jogja juga hujan
3169309188,2024-11-20 04:09:52+00:00,4,1,,di jogja hujan 90% air sisanya tangisan masyarakat karena umr-nya kecil. https://t.co/yEsWUssYHU
1762647648153329664,2024-11-20 02:19:52+00:00,0,0,,"RT @otcdxzy12: Sejak,Langit Menurunkan Hujan 
Maka saat itu juga air hujan menyembunyikan air mata dari kesedihan:v

#Jogja https://t.co/Oq…"
1786616445767675904,2024-11-20 02:05:47+00:00,0,0,,"@PakRW__002 Mau jaketnya Pak, ukuran L buat pak suami. Jogja lagi musim hujan ini butuh jaket buat kerja naik motor biar gak kedinginan. Matur nuwun 🤩🎁 https://t.co/uFoMusa8Fz"
208487960,2024-11-20 01:56:46+00:00,0,0,,"#TerorismeSeksual di Jogja

Exhibit 8

Lokasi: arah kayunan 
Waktu: 20.40
Ciri pelaku: laki-laki. Jas hujan biru. Helem putih.
Kendaraan:beat hitam.

@PoldaJogja bangun sat
@kratonjogja njenengan juga. Apa gak malu cuman ribut ngurusin tanah?

https://t.co/MujBcLqvkt"
1839837651517747203,2024-11-20 01:56:41+00:00,0,0,,"RT @pijatpriagempal: Jogja hujan deres guys , yuk dingin2 cari anget2 gas
#pijatjogja
#pijatpriajogja
#gayjogja
#gigolojogja https://t.co/B…"
1858121400504221696,2024-11-20 01:55:27+00:00,0,0,,@satbajingan https://t.co/JRWGBJ6c4D
1858121400504221696,2024-11-20 01:55:08+00:00,0,0,,@YogyakartaCity https://t.co/JRWGBJ6c4D
1858121400504221696,2024-11-20 01:54:54+00:00,0,0,,@YogyakartaCity https://t.co/JRWGBJ6c4D
1858121400504221696,2024-11-20 01:54:40+00:00,0,0,,@snowflakemlet https://t.co/JRWGBJ6c4D
1857709827511984128,2024-11-20 01:45:57+00:00,0,0,,"@gomohotari_rec gass, tp jogja lg musim ujan angin✋🏻"
1614825698245636097,2024-11-20 01:30:57+00:00,0,0,,"@Lily_JKT48 Gas lily, Jogja lg hujan”nya asik bgt ni kl mau main"
15252592,2024-11-20 00:53:50+00:00,0,0,,Jogja udah hujan tiap hari https://t.co/WFoA9b73LQ
1736428133409243137,2024-11-19 22:33:31+00:00,0,0,,"@Lindsleys_ @tanyarlfes Aku pas di jogja, order dari jam 7-9 gada driver yang mau pick up padahal hujan udah reda dari abis maghrib, akhirnya tengah 10 ke gacoan sama temenku, mana pas keluar penginapan malah ada diver sopipud lagi nganterin orderan orang, kek? hello? kok dapet? aku mah ditolak terus?😑"
1606274633967144960,2024-11-19 18:31:58+00:00,0,0,,"RT @otcdxzy12: Sejak,Langit Menurunkan Hujan 
Maka saat itu juga air hujan menyembunyikan air mata dari kesedihan:v

#Jogja https://t.co/Oq…"
1426015806798790664,2024-11-19 17:56:05+00:00,0,0,,RT @Pasutri_new_69: Cocok sama jogja yang baru hujan https://t.co/cPI6TXibZ8
1243019118283874305,2024-11-19 16:33:00+00:00,0,0,,jogja kalau hujan air mata itu pelakunya aku https://t.co/B8ro3jsTI8 https://t.co/qOqxwhlA5Q
